Match_Date,TeamA,Score,TeamB
28/05/2021,France,3–0,Bulgaria
28/05/2021,Germany,3–0,Australia
28/05/2021,Japan,3–0,Iran
28/05/2021,Serbia,3–1,Slovenia
28/05/2021,Netherlands,1–3,Russia
28/05/2021,USA,3–0,Canada
28/05/2021,Poland,3–0,Italy
28/05/2021,Brazil,3–0,Argentina
29/05/2021,Germany,2–3,France
29/05/2021,Iran,1–3,Russia
29/05/2021,Netherlands,2–3,Japan
29/05/2021,Australia,0–3,Bulgaria
29/05/2021,Poland,3–1,Serbia
29/05/2021,Italy,0–3,Slovenia
29/05/2021,Argentina,0–3,Canada
29/05/2021,USA,0–3,Brazil
30/05/2021,Australia,1–3,France
30/05/2021,Netherlands,0–3,Iran
30/05/2021,Germany,3–2,Bulgaria
30/05/2021,Russia,2–3,Japan
30/05/2021,USA,3–1,Argentina
30/05/2021,Canada,1–3,Brazil
30/05/2021,Poland,1–3,Slovenia
30/05/2021,Serbia,3–1,Italy
06/03/2021,Germany,2–3,Argentina
06/03/2021,Iran,3–1,Canada
06/03/2021,Japan,1–3,Serbia
06/03/2021,Brazil,0–3,France
06/03/2021,Netherlands,0–3,Slovenia
06/03/2021,Australia,0–3,Poland
06/03/2021,Italy,3–2,Bulgaria
06/03/2021,Russia,3–1,USA
06/04/2021,Argentina,0–3,Slovenia
06/04/2021,Netherlands,3–2,Germany
06/04/2021,Brazil,3–0,Japan
06/04/2021,Serbia,3–2,France
06/04/2021,Iran,3–1,Italy
06/04/2021,Poland,3–0,USA
06/04/2021,Russia,3–0,Australia
06/04/2021,Canada,3–0,Bulgaria
06/05/2021,Netherlands,0–3,Argentina
06/05/2021,Slovenia,1–3,Germany
06/05/2021,France,3–2,Japan
06/05/2021,Brazil,3–1,Serbia
06/05/2021,Russia,1–3,Poland
06/05/2021,USA,3–0,Australia
06/05/2021,Bulgaria,0–3,Iran
06/05/2021,Canada,2–3,Italy
06/09/2021,Serbia,3–1,Germany
06/09/2021,Japan,3–1,Australia
06/09/2021,France,3–1,Russia
06/09/2021,Slovenia,3–0,Canada
06/09/2021,Argentina,0–3,Italy
06/09/2021,Iran,3–0,USA
06/09/2021,Poland,3–0,Bulgaria
06/09/2021,Netherlands,0–3,Brazil
06/10/2021,Serbia,3–2,Iran
06/10/2021,Russia,3–1,Canada
06/10/2021,France,2–3,Slovenia
06/10/2021,Argentina,3–0,Australia
06/10/2021,Germany,0–3,USA
06/10/2021,Bulgaria,0–3,Brazil
06/10/2021,Japan,3–2,Italy
06/10/2021,Poland,3–0,Netherlands
06/11/2021,Iran,2–3,Germany
06/11/2021,Slovenia,3–2,Russia
06/11/2021,Japan,1–3,Argentina
06/11/2021,Netherlands,2–3,Bulgaria
06/11/2021,Australia,0–3,Italy
06/11/2021,USA,1–3,Serbia
06/11/2021,Canada,1–3,France
06/11/2021,Poland,0–3,Brazil
15/06/2021,Russia,3–1,Serbia
15/06/2021,Iran,2–3,Australia
15/06/2021,Argentina,3–1,Bulgaria
15/06/2021,Japan,3–0,Germany
15/06/2021,Italy,0–3,USA
15/06/2021,Canada,0–3,Poland
15/06/2021,Brazil,3–2,Slovenia
15/06/2021,Netherlands,3–2,France
16/06/2021,Argentina,1–3,Russia
16/06/2021,Serbia,3–0,Bulgaria
16/06/2021,Slovenia,3–1,Australia
16/06/2021,Japan,0–3,Poland
16/06/2021,Netherlands,1–3,Italy
16/06/2021,Canada,3–0,Germany
16/06/2021,USA,1–3,France
16/06/2021,Iran,1–3,Brazil
17/06/2021,Argentina,3–0,Serbia
17/06/2021,Bulgaria,0–3,Russia
17/06/2021,Japan,0–3,Canada
17/06/2021,Australia,0–3,Brazil
17/06/2021,Iran,1–3,Slovenia
17/06/2021,Netherlands,2–3,USA
17/06/2021,France,2–3,Italy
17/06/2021,Germany,0–3,Poland
21/06/2021,Australia,1–3,Serbia
21/06/2021,Japan,3–0,Bulgaria
21/06/2021,France,3–0,Iran
21/06/2021,Canada,3–0,Netherlands
21/06/2021,Brazil,3–1,Italy
21/06/2021,Slovenia,3–2,USA
21/06/2021,Poland,3–0,Argentina
21/06/2021,Germany,1–3,Russia
22/06/2021,Canada,3–0,Australia
22/06/2021,Serbia,3–2,Netherlands
22/06/2021,Bulgaria,0–3,USA
22/06/2021,Iran,0–3,Poland
22/06/2021,Japan,0–3,Slovenia
22/06/2021,France,3–0,Argentina
22/06/2021,Brazil,3–0,Germany
22/06/2021,Russia,3–2,Italy
23/06/2021,Australia,0–3,Netherlands
23/06/2021,Canada,3–2,Serbia
23/06/2021,USA,3–0,Japan
23/06/2021,France,3–2,Poland
23/06/2021,Iran,1–3,Argentina
23/06/2021,Slovenia,3–0,Bulgaria
23/06/2021,Italy,3–2,Germany
23/06/2021,Brazil,0–3,Russia
06/07/2022,China,1–3,Iran
06/07/2022,Slovenia,0–3,USA
06/08/2022,Japan,3–1,Netherlands
06/08/2022,Brazil,3–0,Australia
06/09/2022,Japan,3–1,China
06/09/2022,Netherlands,0–3,USA
06/09/2022,Brazil,3–1,Slovenia
06/10/2022,Netherlands,3–0,Iran
06/10/2022,Japan,2–3,USA
06/10/2022,Australia,0–3,Slovenia
06/11/2022,USA,3–1,Brazil
06/11/2022,Slovenia,3–1,China
06/11/2022,Iran,3–1,Australia
06/12/2022,Brazil,0–3,China
06/12/2022,Iran,0–3,Japan
06/12/2022,Netherlands,3–0,Australia
06/07/2022,Bulgaria,1–3,Serbia
06/07/2022,Canada,0–3,Germany
06/08/2022,Poland,3–0,Argentina
06/08/2022,France,3–0,Italy
06/09/2022,Germany,1–3,Argentina
06/09/2022,Serbia,1–3,France
06/09/2022,Poland,1–3,Italy
06/10/2022,Serbia,3–2,Argentina
06/10/2022,Bulgaria,2–3,Germany
06/10/2022,France,3–0,Canada
06/11/2022,Germany,3–2,Serbia
06/11/2022,Bulgaria,0–3,Poland
06/11/2022,Canada,0–3,Italy
06/12/2022,France,1–3,Poland
06/12/2022,Argentina,1–3,Italy
06/12/2022,Bulgaria,2–3,Canada
21/06/2022,Slovenia,0–3,Netherlands
21/06/2022,Argentina,1–3,Japan
22/06/2022,AChina,0–3,France
22/06/2022,Germany,0–3,Italy
23/06/2022,France,3–0,Netherlands
23/06/2022,China,3–0,GermanyB
23/06/2022,Argentina,1–3,Slovenia
24/06/2022,Germany,1–3,Netherlands
24/06/2022,Argentina,3–1,China
24/06/2022,Japan,3–2,Italy
25/06/2022,Argentina,2–3,Netherlands
25/06/2022,Japan,0–3,France
25/06/2022,Italy,3–0,Slovenia
26/06/2022,Germany,1–3,France
26/06/2022,Japan,3–1,Slovenia
26/06/2022,Italy,3–0,China
21/06/2022,Australia,1–3,Canada
21/06/2022,Iran,0–3,Bulgaria
22/06/2022,Brazil,1–3,Poland
22/06/2022,Serbia,1–3,USA
23/06/2022,Poland,3–0,Canada
23/06/2022,Serbia,0–3,Brazil
23/06/2022,USA,0–3,Iran
24/06/2022,Serbia,3–2,Canada
24/06/2022,Iran,0–3,Brazil
24/06/2022,Australia,3–2,Bulgaria
25/06/2022,Canada,0–3,Iran
25/06/2022,Poland,3–0,Australia
25/06/2022,USA,3–1,Bulgaria
26/06/2022,Serbia,3–0,Australia
26/06/2022,USA,1–3,Poland
26/06/2022,Bulgaria,0–3,Brazil
07/05/2022,USA,3–1,Germany
07/05/2022,Canada,1–3,Argentina
07/06/2022,Brazil,3–1,Germany
07/06/2022,Japan,3–1,Australia
07/07/2022,France,2–3,USA
07/07/2022,Germany,3–1,Australia
07/07/2022,Canada,0–3,Brazil
07/08/2022,Argentina,3–1,Australia
07/08/2022,France,3–0,Brazil
07/08/2022,Japan,3–1,Canada
07/09/2022,France,1–3,Argentina
07/09/2022,Canada,0–3,USA
07/09/2022,Germany,1–3,Japan
07/10/2022,USA,3–2,Argentina
07/10/2022,Australia,0–3,France
07/10/2022,Brazil,3–0,Japan
07/05/2022,Bulgaria,0–3,Italy
07/05/2022,Iran,3–2,Poland
07/06/2022,Netherlands,3–0,China
07/06/2022,Slovenia,3–0,Serbia
07/07/2022,Italy,3–1,Iran
07/07/2022,Bulgaria,1–3,Slovenia
07/07/2022,Poland,3–0,China
07/08/2022,Bulgaria,3–1,Netherlands
07/08/2022,Slovenia,0–3,Iran
07/08/2022,Italy,3–0,Serbia
07/09/2022,China,3–1,Bulgaria
07/09/2022,Iran,3–0,Serbia
07/09/2022,Poland,3–0,Netherlands
07/10/2022,China,1–3,Serbia
07/10/2022,Italy,3–0,Netherlands
07/10/2022,Poland,3–1,Slovenia
06/06/2023,Italy,0–3,Argentina
06/06/2023,Canada,3–2,Cuba
06/07/2023,USA,3–0,Netherlands
06/07/2023,Brazil,3–1,Germany
06/08/2023,Netherlands,3–0,Cuba
06/08/2023,Italy,0–3,USA
06/08/2023,Argentina,2–3,Brazil
06/09/2023,Netherlands,3–0,Germany
06/09/2023,Italy,3–1,Cuba
06/09/2023,Canada,1–3,Argentina
06/10/2023,Germany,1–3,Italy
06/10/2023,Brazil,2–3,Cuba
06/10/2023,Canada,0–3,USA
06/11/2023,Argentina,3–2,Netherlands
06/11/2023,USA,1–3,Brazil
06/11/2023,Canada,1–3,Germany
06/06/2023,Bulgaria,2–3,China
06/06/2023,Japan,3–0,Iran
06/07/2023,Slovenia,3–1,Serbia
06/07/2023,Poland,3–1,France
06/08/2023,Slovenia,0–3,Bulgaria
06/08/2023,Serbia,3–0,China
06/08/2023,Poland,3–2,Iran
06/09/2023,China,1–3,France
06/09/2023,Poland,3–2,Bulgaria
06/09/2023,Japan,3–1,Serbia
06/10/2023,France,1–3,Slovenia
06/10/2023,Iran,3–1,China
06/10/2023,Japan,3–0,Bulgaria
06/11/2023,Slovenia,3–0,Iran
06/11/2023,Serbia,3–0,Poland
06/11/2023,Japan,3–1,France
20/06/2023,Iran,3–0,Germany
20/06/2023,USA,3–1,Serbia
20/06/2023,Netherlands,3–0,China
21/06/2023,Iran,0–3,Italy
21/06/2023,USA,3–0,China
21/06/2023,Germany,2–3,Poland
22/06/2023,China,0–3,Italy
22/06/2023,Serbia,3–1,Germany
22/06/2023,Netherlands,2–3,Poland
23/06/2023,Iran,0–3,USA
23/06/2023,Serbia,0–3,Italy
24/06/2023,Poland,0–3,USA
24/06/2023,Netherlands,3–2,Iran
24/06/2023,China,3–1,Germany
25/06/2023,Italy,1–3,Poland
25/06/2023,Netherlands,2–3,Serbia
20/06/2023,Japan,3–1,Canada
20/06/2023,Argentina,1–3,Slovenia
20/06/2023,Brazil,3–0,Bulgaria
21/06/2023,Japan,3–0,Cuba
21/06/2023,Slovenia,3–0,Canada
21/06/2023,Argentina,3–1,France
22/06/2023,Japan,3–2,Brazil
22/06/2023,Canada,3–1,Bulgaria
22/06/2023,Slovenia,3–1,Cuba
23/06/2023,Argentina,3–0,Bulgaria
23/06/2023,France,3–0,Cuba
24/06/2023,Japan,3–2,Argentina
24/06/2023,Brazil,3–1,Slovenia
24/06/2023,Canada,0–3,France
25/06/2023,Bulgaria,2–3,Cuba
25/06/2023,Brazil,3–1,France
07/04/2023,Argentina,3–1,Serbia
07/04/2023,Iran,0–3,France
07/05/2023,Germany,3–0,Bulgaria
07/05/2023,USA,3–0,Cuba
07/06/2023,Argentina,3–0,Germany
07/06/2023,Serbia,3–2,Cuba
07/06/2023,Bulgaria,3–2,Iran
07/07/2023,Serbia,1–3,France
07/07/2023,Cuba,0–3,Germany
07/07/2023,USA,2–3,Argentina
07/08/2023,Bulgaria,0–3,Serbia
07/08/2023,Argentina,3–2,Iran
07/08/2023,USA,3–0,France
07/09/2023,Cuba,3–2,Iran
